Image ID,Ground Truth LaTeX,基线模型-预测,基线模型-质量(10分制),基线模型-耗时(秒),微调模型-预测,DeepSeek-OCR-预测,微调模型-质量(10分制),DeepSeek-质量(10分制),微调模型-耗时(秒),DeepSeek-耗时(秒),备注,,基线,微调,deepseek
test_01824,X = X _ { L } + X _ { R } \rightarrow X ^ { \prime } = X _ { L } - X _ { R } .,\[\begin{array}{r}{X=X_{L}+X_{R}\rightarrow X^{\prime}=X_{L}-X_{R}.}\end{array}\],,1.476,\[X=X_{L}+X_{R}\rightarrow X^{\prime}=X_{L}-X_{R}.\],X = X_L + X_R \rightarrow X' = X_L - X_R.,,,1.263,11.809,,,9,9.5,10
test_00409,"j ( \tau ) = \frac { \left( \theta _ { 2 } ( \tau ) ^ { 8 } + \theta _ { 3 } ( \tau ) ^ { 8 } + \theta _ { 4 } ( \tau ) ^ { 8 } \right) ^ { 3 } } { \eta ( \tau ) ^ { 2 4 } } ,","\[j(\tau)\equiv\frac{\left(\theta_{2}(\tau)^{8}+\theta_{3}(\tau)^{8}+\theta_{4}(\tau)^{8}\right)^{3}}{\eta(\tau)^{24}}\,,\]",,1.697,"\[j(\tau)\equiv\frac{\left(\theta_{2}(\tau)^{8}+\theta_{3}(\tau)^{8}+\theta_{4}(\tau)^{8}\right)^{3}}{\eta(\tau)^{24}}\,,\]","j(\tau) = \frac{(\theta_2(\tau)^8 + \theta_3(\tau)^8 + \theta_4(\tau)^8)^3}{\eta(\tau)^{24}},",,,1.704,8.606,,,8,8,9.5
test_04506,"G _ { + + } ^ { \Lambda 2 } ( x ) = G _ { + + } ^ { 2 } ( x ) + G _ { + + } ^ { ( \vert \vec { p } \vert < \Lambda ) 2 } ( x ) - 2 G _ { + + } ( x ) G _ { + + } ^ { ( \vert \vec { p } \vert < \Lambda ) } ( x ) ,","\[\begin{array}{r}{G_{++}^{\Lambda2}(\mathcal{Z})=G_{++}^{2}(\mathcal{Z})+\mathrm{G}_{++}^{(|\vec{p}|<\Lambda)2}(\mathcal{Z})-2G_{++}(\mathcal{Z})G_{++}^{(|\vec{p}|<\Lambda)}(\mathcal{Z}),}\end{array}\]",,2.48,"\[\begin{array}{r}{G_{++}^{\Lambda2}(\mathcal{Z})=G_{++}^{2}(\mathcal{Z})+\mathrm{G}_{++}^{(|\vec{p}|<\Lambda)^{2}}(\mathcal{Z})-2G_{++}(\mathcal{Z})G_{++}^{(|\vec{p}|<\Lambda)}(\mathcal{Z}),}\end{array}\]","G_{++}^{\Lambda 2}(x) = G_{++}^2(x) + G_{++}^{[|\vec{p}| < \Lambda]2}(x) - 2G_{++}(x)G_{++}^{[|\vec{p}| < \Lambda]}(x),",,,2.474,10.769,,,4,4,9
test_04012,"\sqrt { \frac { \theta _ { 3 } } { \eta } } = q ^ { - 1 / 4 8 } \prod _ { n = 0 } ^ { \infty } ( 1 + q ^ { n + 1 / 2 } ) , \qquad \qquad \sqrt { \frac { \theta _ { 4 } } { \eta } } = q ^ { - 1 / 4 8 } \prod _ { n = 0 } ^ { \infty } ( 1 - q ^ { n + 1 / 2 } )","\[\sqrt{\frac{\theta_{3}}{\eta}}=q^{-1/48}\prod_{n=0}^{\infty}(1+q^{n+1/2}),\qquad\qquad\sqrt{\frac{\theta_{4}}{\eta}}=q^{-1/48}\prod_{n=0}^{\infty}(1-q^{n+1/2})\]",,2.341,"\[\sqrt{\frac{\theta_{3}}{\eta}}=q^{-1/48}\prod_{n=0}^{\infty}(1+q^{n+1/2}),\qquad\qquad\sqrt{\frac{\theta_{4}}{\eta}}=q^{-1/48}\prod_{n=0}^{\infty}(1-q^{n+1/2})\]","\sqrt{\frac{\theta_3}{\eta}} = q^{-1/48} \prod_{n=0}^\infty (1 + q^{n+1/2}),\]

\[\sqrt{\frac{\theta_4}{\eta}} = q^{-1/48} \prod_{n=0}^\infty \left(1 - q^{n+1/2}\right)",,,2.361,13.549,,,9,9,9.5
test_03657,X ^ { 2 } + Y ^ { 2 } - \left( R e \hat { \epsilon } \right) ^ { 2 } = \frac 1 4 \Gamma ^ { 2 },\[X^{2}+{\bf Y}^{2}-\left(R\epsilon\widehat{\epsilon}\right)^{2}=\frac{1}{4}\Gamma^{2}\],,1.463,\[X^{2}+{\bf Y}^{2}-\left(R\epsilon\widehat{\epsilon}\right)^{2}={\frac{1}{4}}\Gamma^{2}\],X^2 + Y^2 - (Re\tilde{e})^2 = \frac{1}{4}\Gamma^2,,,1.454,6.811,,,6,6.5,8
test_02286,S _ { \mathrm { R } } [ \phi ] = \frac { 1 } { 1 8 0 } \frac { 1 } { ( 4 \pi ) ^ { 2 } } \int \mathrm { d },\[S_{\mathrm{R}}[\phi]=\frac{1}{180}\frac{1}{(4\pi)^{2}}\int\mathrm{d}\],,1.399,\[S_{\mathrm{R}}[\phi]=\frac{1}{180}\frac{1}{(4\pi)^{2}}\int\mathrm{d}\],S_R[\phi] = \frac{1}{180} \frac{1}{(4\pi)^2} \int d,,,1.38,6.642,,,10,10,10
test_01679,b _ { - { \frac { j } { 2 } } } b _ { { \frac { j } { 2 } } } + b _ { { \frac { j } { 2 } } } b _ { - { \frac { j } { 2 } } } = 1,\[b_{-\frac{j}{2}}b_{\frac{j}{2}}+b_{\frac{j}{2}}b_{-\frac{j}{2}}=1\],,1.532,\[b_{-\frac{j}{2}}b_{\frac{j}{2}}+b_{\frac{j}{2}}b_{-\frac{j}{2}}=1\],b_{-\frac{1}{2}}b_{\frac{1}{2}} + b_{\frac{1}{2}}b_{-\frac{1}{2}} = 1,,,1.467,7.546,,,10,10,5
test_08935,"d s ^ { 2 } = - d t ^ { 2 } + a _ { 1 } ^ { 2 } ( t ) d x ^ { 2 } + a _ { 2 } ^ { 2 } ( t ) d y ^ { 2 } + a _ { 3 } ^ { 2 } ( t ) d z ^ { 2 } ,","\[d s^{2}=-d t^{2}+a_{1}^{2}(t)d\omega^{2}+a_{2}^{2}(t)d y^{2}+a_{3}^{2}(t)d z^{2}\,,\]",,1.876,"\[d s^{2}=-d t^{2}+a_{1}^{2}(t)d x^{2}+a_{2}^{2}(t)d y^{2}+a_{3}^{2}(t)d z^{2}\,,\]","ds^2 = -dt^2 + a_1^2(t)dx^2 + a_2^2(t)dy^2 + a_3^2(t)dz^2,",,,1.939,8.061,,,5,10,10
test_01424,"\bar { n } = n + \mu \left( 2 - j \right) = \left\{ \begin{array} { c } { n + \mu , j = 1 , \bar { l } = l + \mu , \bar { l } \leq \bar { n } } \\ { n , j = 2 , n = 0 , 1 , 2 , . . . . } \\ \end{array} \right.","\[\begin{array}{r}{\bar{\eta}=n+\mu\left(2-j\right)=\left\{\begin{array}{c c}{\eta+\mu_{i}j=1,\bar{l}=l+\mu_{i}\bar{l}\leq\bar{\eta}}\\ {\eta_{i},j=2,\eta=0,1,2,...,}\end{array}\right.}\end{array}\]",,2.765,"\[\begin{array}{r}{\bar{\eta}=n+\mu\left(2-j\right)=\left\{\begin{array}{c c}{\eta+\mu_{i}j=1,\bar{l}=l+\mu_{i}\bar{l}\leq\bar{\eta}}\\ {\eta_{i},j=2,\eta=0,1,2,...,}\end{array}\right.}\end{array}\]","\bar{n} = n + \mu (2 - j) = 
\begin{cases} 
n + \mu, & j = 1, \bar{l} = l + \mu, \bar{l} \leq \bar{n} \\
n, & j = 2, n = 0, 1, 2, \ldots
\end{cases}",,,2.789,12.047,,,3,3,9.5
test_06912,{ \cal J } _ { A B i j } \hat { k } _ { I } ^ { A } \hat { k } _ { J } ^ { B } = - f _ { I J } { } ^ { K } \hat { P } _ { K i j } + 4 \varepsilon ^ { k l } \hat { P } _ { I k ( i } \hat { P } _ { J j ) l } \ .,\[{\cal J}_{A B i j}\hat{k}_{I}^{A}\hat{k}_{J}^{B}=-f_{I J}{}^{K}\hat{P}_{K i j}+4\epsilon^{k l}\hat{P}_{I k(i^{2}\hat{J}j)l}\ .\],,2.228,\[{\cal J}_{A B i j}\hat{k}_{I}^{A}\hat{k}_{J}^{B}=-f_{I J}{}^{K}\hat{P}_{K i j}+4\epsilon^{k l}\hat{P}_{I k(i^{2}\hat{J}j)l}\ .\],J_{ABij} \hat{k}_I^A \hat{k}_J^B = -f_{IJ} K \hat{P}_{Kij} + 4 \epsilon^{kl} \hat{P}_{Ik(i} \hat{P}_{Jj)l} .,,,2.242,10.1,,,4,4,10
test_00520,\hat { \phi } ( \vec { x } ) | \phi > = \phi ( \vec { x } ) | \phi > \ .,\[\hat{\Phi}(\vec{x})|\dot{\Phi}>=\phi(\vec{x})|\dot{\Phi}>\ \ .\],,1.302,\[\hat{\Phi}(\vec{x})|\dot{\Phi}>=\phi(\vec{x})|\dot{\Phi}>~{}~{}.\],\hat{\phi}(\vec{x})|\phi\rangle = \phi(\vec{x})|\phi\rangle.,,,1.313,5.815,,,5,5,10
test_00488,g ( \tau ) = \frac { \vartheta _ { 2 } ^ { 4 } } { \vartheta _ { 3 } ^ { 4 } + \vartheta _ { 4 } ^ { 4 } } .,\[g(\tau)=\frac{\partial_{2}^{4}}{\partial_{3}^{4}+\partial_{4}^{4}}.\],,1.25,\[g(\tau)=\frac{\partial_{2}^{4}}{\partial_{3}^{4}+\partial_{4}^{4}}.\],g(\tau) = \frac{\vartheta_2^4}{\vartheta_3^4 + \vartheta_4^4}.,,,1.269,7.133,,,2,2,10
